year,project,month,site,treatment,plot_id,functional_group,family,genus,specie,taxon,cover
2019,Puna,April,ACJ,B,2,Forb,Asteraceae,Chaptalia,cordata,Chaptalia cordata,1
2019,Puna,April,ACJ,B,2,Forb,Asteraceae,Hieracium,cf. mandonii,Hieracium cf. mandonii,1
2019,Puna,April,ACJ,B,2,Forb,Asteraceae,Laestadia,muscicola,Laestadia muscicola,4
2019,Puna,April,ACJ,B,2,Forb,Bromeliaceae,Puya,leptostachya,Puya leptostachya,3
2019,Puna,April,ACJ,B,2,Gramminoid,Cyperaceae,Carex,pygmaea,Carex pygmaea,10
2019,Puna,April,ACJ,B,2,Gramminoid,Cyperaceae,Oreobolus,venezuelensis,Oreobolus venezuelensis,3
2019,Puna,April,ACJ,B,2,Gramminoid,Cyperaceae,Rhynchospora,macrochaeta,Rhynchospora macrochaeta,8
2019,Puna,April,ACJ,B,2,Woody,Ericaceae,Gaultheria,glomerata,Gaultheria glomerata,4
2019,Puna,April,ACJ,B,2,Woody,Ericaceae,Pernettya,prostrata,Pernettya prostrata,4
2019,Puna,April,ACJ,B,2,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,25
2019,Puna,April,ACJ,B,2,Forb,Gentianaceae,Halenia,umbellata,Halenia umbellata,3
2019,Puna,April,ACJ,B,2,Gramminoid,Juncaceae,Luzula,racemosa,Luzula racemosa,0.5
2019,Puna,April,ACJ,B,2,Fern,Lycopodiaceae,Lycopodium,clavatum,Lycopodium clavatum,0.5
2019,Puna,April,ACJ,B,2,Woody,Melastomataceae,Miconia,rotundifolia,Miconia rotundifolia,2
2019,Puna,April,ACJ,B,2,Gramminoid,Poaceae,Calamagrostis,rigida,Calamagrostis rigida,4
2019,Puna,April,ACJ,B,2,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,55
2019,Puna,April,ACJ,B,2,Gramminoid,Poaceae,Festuca,dolichophylla,Festuca dolichophylla,5
2019,Puna,April,ACJ,B,2,Gramminoid,Poaceae,Paspalum,bonplandianum,Paspalum bonplandianum,5
2019,Puna,April,ACJ,B,2,Fern,Polypodiaceae,Melpomene,moniliformis,Melpomene moniliformis,3
2019,Puna,April,ACJ,B,2,Fern,Pteridaceae,Eriosorus,cheilanthoides,Eriosorus cheilanthoides,5
2019,Puna,April,ACJ,B,3,Forb,Asteraceae,Chaptalia,cordata,Chaptalia cordata,0.5
2019,Puna,April,ACJ,B,3,Woody,Asteraceae,Baccharis,genistelloides,Baccharis genistelloides,0.5
2019,Puna,April,ACJ,B,3,Gramminoid,Cyperaceae,Carex,pichinchensis,Carex pichinchensis,1
2019,Puna,April,ACJ,B,3,Gramminoid,Cyperaceae,Rhynchospora,macrochaeta,Rhynchospora macrochaeta,10
2019,Puna,April,ACJ,B,3,Woody,Ericaceae,Gaultheria,glomerata,Gaultheria glomerata,1
2019,Puna,April,ACJ,B,3,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,10
2019,Puna,April,ACJ,B,3,Forb,Gentianaceae,Halenia,umbellata,Halenia umbellata,2
2019,Puna,April,ACJ,B,3,Fern,Lycopodiaceae,Lycopodium,clavatum,Lycopodium clavatum,5
2019,Puna,April,ACJ,B,3,Woody,Melastomataceae,Miconia,rotundifolia,Miconia rotundifolia,1
2019,Puna,April,ACJ,B,3,Forb,Orchidaceae,Pterichis,sp1,Pterichis sp1,0.5
2019,Puna,April,ACJ,B,3,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,30
2019,Puna,April,ACJ,B,3,Gramminoid,Poaceae,Cortaderia,bifida,Cortaderia bifida,30
2019,Puna,April,ACJ,B,3,Gramminoid,Poaceae,Festuca,dolichophylla,Festuca dolichophylla,5
2019,Puna,April,ACJ,B,3,Gramminoid,Poaceae,Paspalum,bonplandianum,Paspalum bonplandianum,15
2019,Puna,April,ACJ,B,4,Woody,Asteraceae,Baccharis,genistelloides,Baccharis genistelloides,0.5
2019,Puna,April,ACJ,B,4,Gramminoid,Cyperaceae,Carex,pichinchensis,Carex pichinchensis,2
2019,Puna,April,ACJ,B,4,Gramminoid,Cyperaceae,Carex,pygmaea,Carex pygmaea,0.5
2019,Puna,April,ACJ,B,4,Gramminoid,Cyperaceae,Rhynchospora,macrochaeta,Rhynchospora macrochaeta,10
2019,Puna,April,ACJ,B,4,Woody,Ericaceae,Gaultheria,glomerata,Gaultheria glomerata,5
2019,Puna,April,ACJ,B,4,Woody,Ericaceae,Pernettya,prostrata,Pernettya prostrata,1
2019,Puna,April,ACJ,B,4,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,4
2019,Puna,April,ACJ,B,4,Forb,Gentianaceae,Halenia,umbellata,Halenia umbellata,0.5
2019,Puna,April,ACJ,B,4,Woody,Melastomataceae,Brachyotum,grisebachii,Brachyotum grisebachii,1
2019,Puna,April,ACJ,B,4,Woody,Melastomataceae,Miconia,rotundifolia,Miconia rotundifolia,1
2019,Puna,April,ACJ,B,4,Gramminoid,Poaceae,Agrostis,mertensii,Agrostis mertensii,10
2019,Puna,April,ACJ,B,4,Gramminoid,Poaceae,Calamagrostis,rigida,Calamagrostis rigida,5
2019,Puna,April,ACJ,B,4,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,50
2019,Puna,April,ACJ,B,4,Gramminoid,Poaceae,Festuca,dolichophylla,Festuca dolichophylla,5
2019,Puna,April,ACJ,B,4,Fern,Pteridaceae,Eriosorus,cheilanthoides,Eriosorus cheilanthoides,0.5
2019,Puna,April,ACJ,B,5,Forb,Bromeliaceae,Puya,leptostachya,Puya leptostachya,8
2019,Puna,April,ACJ,B,5,Gramminoid,Cyperaceae,Carex,pygmaea,Carex pygmaea,3
2019,Puna,April,ACJ,B,5,Gramminoid,Cyperaceae,Rhynchospora,macrochaeta,Rhynchospora macrochaeta,12
2019,Puna,April,ACJ,B,5,Fern,Dryopteridaceae,Elaphoglossum,huacsaro,Elaphoglossum huacsaro,5
2019,Puna,April,ACJ,B,5,Woody,Ericaceae,Gaultheria,glomerata,Gaultheria glomerata,10
2019,Puna,April,ACJ,B,5,Woody,Ericaceae,Pernettya,prostrata,Pernettya prostrata,8
2019,Puna,April,ACJ,B,5,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,6
2019,Puna,April,ACJ,B,5,Forb,Gentianaceae,Halenia,umbellata,Halenia umbellata,15
2019,Puna,April,ACJ,B,5,Woody,Hypericaceae,Hypericum,andinum,Hypericum andinum,3
2019,Puna,April,ACJ,B,5,Gramminoid,Juncaceae,Luzula,racemosa,Luzula racemosa,0.5
2019,Puna,April,ACJ,B,5,Fern,Lycopodiaceae,Lycopodium,clavatum,Lycopodium clavatum,20
2019,Puna,April,ACJ,B,5,Gramminoid,Poaceae,Agrostis,mertensii,Agrostis mertensii,1
2019,Puna,April,ACJ,B,5,Gramminoid,Poaceae,Calamagrostis,cf. amoena,Calamagrostis cf. amoena,1
2019,Puna,April,ACJ,B,5,Gramminoid,Poaceae,Calamagrostis,rigida,Calamagrostis rigida,10
2019,Puna,April,ACJ,B,5,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,30
2019,Puna,April,ACJ,B,5,Forb,Violaceae,Viola,thymifolia,Viola thymifolia,4
2019,Puna,April,ACJ,C,1,Forb,Asteraceae,Chaptalia,cordata,Chaptalia cordata,0.5
2019,Puna,April,ACJ,C,1,Forb,Asteraceae,Senecio,burkartii,Senecio burkartii,0.5
2019,Puna,April,ACJ,C,1,Forb,Asteraceae,Senecio,rhizomathus,Senecio rhizomathus,1
2019,Puna,April,ACJ,C,1,Woody,Asteraceae,Baccharis,genistelloides,Baccharis genistelloides,0.5
2019,Puna,April,ACJ,C,1,Gramminoid,Cyperaceae,Carex,pichinchensis,Carex pichinchensis,3
2019,Puna,April,ACJ,C,1,Fern,Dryopteridaceae,Elaphoglossum,amphioxys,Elaphoglossum amphioxys,7
2019,Puna,April,ACJ,C,1,Woody,Ericaceae,Gaultheria,glomerata,Gaultheria glomerata,3
2019,Puna,April,ACJ,C,1,Woody,Ericaceae,Gaultheria,vaccinioides,Gaultheria vaccinioides,5
2019,Puna,April,ACJ,C,1,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,3
2019,Puna,April,ACJ,C,1,Forb,Gentianaceae,Halenia,umbellata,Halenia umbellata,1
2019,Puna,April,ACJ,C,1,Fern,Lycopodiaceae,Lycopodium,clavatum,Lycopodium clavatum,15
2019,Puna,April,ACJ,C,1,Woody,Melastomataceae,Miconia,rotundifolia,Miconia rotundifolia,1
2019,Puna,April,ACJ,C,1,Forb,Orchidaceae,Cyrtochilum,mystacinum,Cyrtochilum mystacinum,0.5
2019,Puna,April,ACJ,C,1,Gramminoid,Poaceae,Bromus,lanatus,Bromus lanatus,1
2019,Puna,April,ACJ,C,1,Gramminoid,Poaceae,Calamagrostis,cf. amoena,Calamagrostis cf. amoena,0.5
2019,Puna,April,ACJ,C,1,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,40
2019,Puna,April,ACJ,C,1,Gramminoid,Poaceae,Cortaderia,hapalotricha,Cortaderia hapalotricha,1
2019,Puna,April,ACJ,C,1,Gramminoid,Poaceae,Danthonia,secundiflora,Danthonia secundiflora,2
2019,Puna,April,ACJ,C,1,Gramminoid,Poaceae,Festuca,dolichophylla,Festuca dolichophylla,5
2019,Puna,April,ACJ,C,1,Fern,Pteridaceae,Eriosorus,cheilanthoides,Eriosorus cheilanthoides,1
2019,Puna,April,ACJ,C,1,Forb,Rubiaceae,Nertera,granadensis,Nertera granadensis,1
2019,Puna,April,ACJ,C,2,Forb,Asteraceae,Chaptalia,cordata,Chaptalia cordata,0.5
2019,Puna,April,ACJ,C,2,Forb,Asteraceae,Hieracium,cf. mandonii,Hieracium cf. mandonii,0.5
2019,Puna,April,ACJ,C,2,Forb,Asteraceae,Senecio,rhizomathus,Senecio rhizomathus,0.5
2019,Puna,April,ACJ,C,2,Fern,Dryopteridaceae,Elaphoglossum,amphioxys,Elaphoglossum amphioxys,2
2019,Puna,April,ACJ,C,2,Fern,Dryopteridaceae,Elaphoglossum,huacsaro,Elaphoglossum huacsaro,1
2019,Puna,April,ACJ,C,2,Woody,Ericaceae,Gaultheria,glomerata,Gaultheria glomerata,1
2019,Puna,April,ACJ,C,2,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,1
2019,Puna,April,ACJ,C,2,Woody,Melastomataceae,Miconia,rotundifolia,Miconia rotundifolia,0.5
2019,Puna,April,ACJ,C,2,Forb,Orchidaceae,Cyrtochilum,mystacinum,Cyrtochilum mystacinum,1
2019,Puna,April,ACJ,C,2,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,15
2019,Puna,April,ACJ,C,2,Gramminoid,Poaceae,Cortaderia,bifida,Cortaderia bifida,75
2019,Puna,April,ACJ,C,3,Forb,Asteraceae,Chaptalia,cordata,Chaptalia cordata,0.5
2019,Puna,April,ACJ,C,3,Forb,Asteraceae,Hieracium,cf. mandonii,Hieracium cf. mandonii,0.5
2019,Puna,April,ACJ,C,3,Forb,Asteraceae,Senecio,rhizomathus,Senecio rhizomathus,0.5
2019,Puna,April,ACJ,C,3,Gramminoid,Cyperaceae,Carex,pichinchensis,Carex pichinchensis,5
2019,Puna,April,ACJ,C,3,Fern,Dryopteridaceae,Elaphoglossum,amphioxys,Elaphoglossum amphioxys,1
2019,Puna,April,ACJ,C,3,Fern,Dryopteridaceae,Elaphoglossum,huacsaro,Elaphoglossum huacsaro,1
2019,Puna,April,ACJ,C,3,Woody,Ericaceae,Gaultheria,glomerata,Gaultheria glomerata,5
2019,Puna,April,ACJ,C,3,Woody,Hypericaceae,Hypericum,andinum,Hypericum andinum,1
2019,Puna,April,ACJ,C,3,Gramminoid,Juncaceae,Luzula,racemosa,Luzula racemosa,1
2019,Puna,April,ACJ,C,3,Fern,Lycopodiaceae,Lycopodium,clavatum,Lycopodium clavatum,30
2019,Puna,April,ACJ,C,3,Gramminoid,Poaceae,Calamagrostis,cf. amoena,Calamagrostis cf. amoena,11
2019,Puna,April,ACJ,C,3,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,40
2019,Puna,April,ACJ,C,3,Gramminoid,Poaceae,Cortaderia,bifida,Cortaderia bifida,2
2019,Puna,April,ACJ,C,3,Fern,Polypodiaceae,Melpomene,moniliformis,Melpomene moniliformis,0.5
2019,Puna,April,ACJ,C,3,Fern,Pteridaceae,Eriosorus,cheilanthoides,Eriosorus cheilanthoides,2
2019,Puna,April,ACJ,C,4,Forb,Asteraceae,Chaptalia,cordata,Chaptalia cordata,0.5
2019,Puna,April,ACJ,C,4,Fern,Dryopteridaceae,Elaphoglossum,huacsaro,Elaphoglossum huacsaro,5
2019,Puna,April,ACJ,C,4,Woody,Ericaceae,Gaultheria,glomerata,Gaultheria glomerata,10
2019,Puna,April,ACJ,C,4,Woody,Ericaceae,Pernettya,prostrata,Pernettya prostrata,5
2019,Puna,April,ACJ,C,4,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,10
2019,Puna,April,ACJ,C,4,Woody,Hypericaceae,Hypericum,andinum,Hypericum andinum,1
2019,Puna,April,ACJ,C,4,Forb,Iridaceae,Sisyrinchium,vaginatum,Sisyrinchium vaginatum,0.5
2019,Puna,April,ACJ,C,4,Gramminoid,Poaceae,Calamagrostis,cf. amoena,Calamagrostis cf. amoena,15
2019,Puna,April,ACJ,C,4,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,5
2019,Puna,April,ACJ,C,4,Gramminoid,Poaceae,Festuca,dolichophylla,Festuca dolichophylla,2
2019,Puna,April,ACJ,C,4,Fern,Polypodiaceae,Melpomene,moniliformis,Melpomene moniliformis,0.5
2019,Puna,April,ACJ,C,4,Fern,Pteridaceae,Eriosorus,cheilanthoides,Eriosorus cheilanthoides,0.5
2019,Puna,April,ACJ,C,4,Forb,Rosaceae,Lachemilla,orbiculata,Lachemilla orbiculata,1
2019,Puna,April,ACJ,C,5,Forb,Asteraceae,Chaptalia,cordata,Chaptalia cordata,1
2019,Puna,April,ACJ,C,5,Woody,Asteraceae,Baccharis,genistelloides,Baccharis genistelloides,0.5
2019,Puna,April,ACJ,C,5,Gramminoid,Cyperaceae,Carex,pichinchensis,Carex pichinchensis,1
2019,Puna,April,ACJ,C,5,Fern,Dryopteridaceae,Elaphoglossum,huacsaro,Elaphoglossum huacsaro,2
2019,Puna,April,ACJ,C,5,Woody,Ericaceae,Gaultheria,glomerata,Gaultheria glomerata,2
2019,Puna,April,ACJ,C,5,Woody,Ericaceae,Pernettya,prostrata,Pernettya prostrata,9
2019,Puna,April,ACJ,C,5,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,5
2019,Puna,April,ACJ,C,5,Forb,Euphobiaceae,Euphorbia,huanchahana,Euphorbia huanchahana,0.5
2019,Puna,April,ACJ,C,5,Forb,Gentianaceae,Halenia,umbellata,Halenia umbellata,1
2019,Puna,April,ACJ,C,5,Woody,Hypericaceae,Hypericum,andinum,Hypericum andinum,2
2019,Puna,April,ACJ,C,5,Gramminoid,Juncaceae,Luzula,racemosa,Luzula racemosa,0.5
2019,Puna,April,ACJ,C,5,Woody,Melastomataceae,Miconia,rotundifolia,Miconia rotundifolia,1
2019,Puna,April,ACJ,C,5,Forb,Orchidaceae,Pterichis,sp1,Pterichis sp1,0.5
2019,Puna,April,ACJ,C,5,Gramminoid,Poaceae,Agrostis,mertensii,Agrostis mertensii,10
2019,Puna,April,ACJ,C,5,Gramminoid,Poaceae,Calamagrostis,cf. amoena,Calamagrostis cf. amoena,10
2019,Puna,April,ACJ,C,5,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,30
2019,Puna,April,ACJ,C,5,Gramminoid,Poaceae,Festuca,dolichophylla,Festuca dolichophylla,25
2019,Puna,April,ACJ,C,5,Fern,Pteridaceae,Eriosorus,cheilanthoides,Eriosorus cheilanthoides,1
2019,Puna,April,OCC,C,1,Forb,Apiaceae,Azorella,biloba,Azorella biloba,1.5
2019,Puna,April,OCC,C,1,Forb,Asteraceae,Lucilia,kunthiana,Lucilia kunthiana,1
2019,Puna,April,OCC,C,1,Forb,Asteraceae,Oreithales,integrifolia,Oreithales integrifolia,10
2019,Puna,April,OCC,C,1,Forb,Asteraceae,Perezia,pungens,Perezia pungens,0.5
2019,Puna,April,OCC,C,1,Forb,Asteraceae,Werneria,nubigena,Werneria nubigena,15
2019,Puna,April,OCC,C,1,Forb,Asteraceae,Werneria,pygmaea,Werneria pygmaea,5
2019,Puna,April,OCC,C,1,Woody,Asteraceae,Baccharis,caespitosa,Baccharis caespitosa,0.5
2019,Puna,April,OCC,C,1,Woody,Asteraceae,Baccharis,genistelloides,Baccharis genistelloides,0.5
2019,Puna,April,OCC,C,1,Forb,Campanulaceae,Lobelia,oligophylla,Lobelia oligophylla,0.5
2019,Puna,April,OCC,C,1,Forb,Caryophyllaceae,Arenaria,digyna,Arenaria digyna,0.5
2019,Puna,April,OCC,C,1,Gramminoid,Cyperaceae,Oreobolus,goeppingeri,Oreobolus goeppingeri,20
2019,Puna,April,OCC,C,1,Forb,Fabaceae,Lupinus,microphyllus,Lupinus microphyllus,0.5
2019,Puna,April,OCC,C,1,Forb,Geraniaceae,Geranium,sessiliflorum,Geranium sessiliflorum,1
2019,Puna,April,OCC,C,1,Gramminoid,Juncaceae,Luzula,racemosa,Luzula racemosa,23
2019,Puna,April,OCC,C,1,Forb,Orchidaceae,Myrosmodes paludosa,Myrosmodes paludosa,Myrosmodes paludosa,0.5
2019,Puna,April,OCC,C,1,Forb,Orobanchaceae,Bartsia,thiantha,Bartsia thiantha,0.5
2019,Puna,April,OCC,C,1,Forb,Oxalidaceae,Oxalis,oreocharis,Oxalis oreocharis,0.5
2019,Puna,April,OCC,C,1,Gramminoid,Poaceae,Aciachne,pulvinata,Aciachne pulvinata,20
2019,Puna,April,OCC,C,1,Gramminoid,Poaceae,Festuca,rigescens,Festuca rigescens,15
2019,Puna,April,OCC,C,1,Gramminoid,Poaceae,Poa,annua,Poa annua,0.5
2019,Puna,April,OCC,C,1,Gramminoid,Poaceae,Poaceae,sp1,Poaceae sp1,12
2019,Puna,April,OCC,C,1,Forb,Rosaceae,Alchemilla,pinnata,Alchemilla pinnata,1
2019,Puna,April,OCC,C,2,Forb,Apiaceae,Azorella,biloba,Azorella biloba,20
2019,Puna,April,OCC,C,2,Forb,Asteraceae,Aphanactis,villosa,Aphanactis villosa,0.5
2019,Puna,April,OCC,C,2,Forb,Asteraceae,Gamochaeta,coarctata,Gamochaeta coarctata,0.5
2019,Puna,April,OCC,C,2,Forb,Asteraceae,Lucilia,kunthiana,Lucilia kunthiana,0.5
2019,Puna,April,OCC,C,2,Forb,Asteraceae,Oreithales,integrifolia,Oreithales integrifolia,4
2019,Puna,April,OCC,C,2,Forb,Asteraceae,Senecio,canescens,Senecio canescens,2
2019,Puna,April,OCC,C,2,Forb,Asteraceae,Werneria,nubigena,Werneria nubigena,2
2019,Puna,April,OCC,C,2,Forb,Asteraceae,Werneria,pygmaea,Werneria pygmaea,0.5
2019,Puna,April,OCC,C,2,Forb,Caryophyllaceae,Arenaria,digyna,Arenaria digyna,20
2019,Puna,April,OCC,C,2,Forb,Caryophyllaceae,Cerastium,arvense,Cerastium arvense,0.5
2019,Puna,April,OCC,C,2,Woody,Ericaceae,Pernettya,prostrata,Pernettya prostrata,1
2019,Puna,April,OCC,C,2,Forb,Fabaceae,Lupinus,microphyllus,Lupinus microphyllus,3
2019,Puna,April,OCC,C,2,Forb,Geraniaceae,Geranium,sessiliflorum,Geranium sessiliflorum,2
2019,Puna,April,OCC,C,2,Forb,Iridaceae,Sisyrinchium,sp3,Sisyrinchium sp3,0.5
2019,Puna,April,OCC,C,2,Gramminoid,Juncaceae,Luzula,racemosa,Luzula racemosa,5
2019,Puna,April,OCC,C,2,Forb,Orchidaceae,Myrosmodes paludosa,Myrosmodes paludosa,Myrosmodes paludosa,0.5
2019,Puna,April,OCC,C,2,Forb,Orobanchaceae,Bartsia,thiantha,Bartsia thiantha,0.5
2019,Puna,April,OCC,C,2,Forb,Oxalidaceae,Oxalis,oreocharis,Oxalis oreocharis,0.5
2019,Puna,April,OCC,C,2,Gramminoid,Poaceae,Agrostis,sp3,Agrostis sp3,0.5
2019,Puna,April,OCC,C,2,Gramminoid,Poaceae,Festuca,rigescens,Festuca rigescens,0.5
2019,Puna,April,OCC,C,2,Gramminoid,Poaceae,Poa,annua,Poa annua,0.5
2019,Puna,April,OCC,C,2,Gramminoid,Poaceae,Poaceae,sp1,Poaceae sp1,15
2019,Puna,April,OCC,C,2,Forb,Rosaceae,Tetraglochium,sp1,Tetraglochium sp1,1
2019,Puna,April,OCC,C,2,Gramminoid,NA,indet,2,indet 2,0.5
2019,Puna,April,OCC,C,3,Forb,Amarillidaceae,Zephyranthes,sp1,Zephyranthes sp1,0.5
2019,Puna,April,OCC,C,3,Forb,Apiaceae,Azorella,biloba,Azorella biloba,0.5
2019,Puna,April,OCC,C,3,Forb,Asteraceae,Aphanactis,villosa,Aphanactis villosa,0.5
2019,Puna,April,OCC,C,3,Forb,Asteraceae,Lucilia,kunthiana,Lucilia kunthiana,0.5
2019,Puna,April,OCC,C,3,Forb,Asteraceae,Senecio,canescens,Senecio canescens,1
2019,Puna,April,OCC,C,3,Forb,Asteraceae,Werneria,nubigena,Werneria nubigena,0.5
2019,Puna,April,OCC,C,3,Forb,Campanulaceae,Lobelia,oligophylla,Lobelia oligophylla,3
2019,Puna,April,OCC,C,3,Forb,Caryophyllaceae,Arenaria,digyna,Arenaria digyna,4
2019,Puna,April,OCC,C,3,Forb,Fabaceae,Lupinus,microphyllus,Lupinus microphyllus,1
2019,Puna,April,OCC,C,3,Forb,Geraniaceae,Geranium,sessiliflorum,Geranium sessiliflorum,0.5
2019,Puna,April,OCC,C,3,Forb,Iridaceae,Sisyrinchium,sp3,Sisyrinchium sp3,0.5
2019,Puna,April,OCC,C,3,Gramminoid,Juncaceae,Luzula,racemosa,Luzula racemosa,10.5
2019,Puna,April,OCC,C,3,Forb,Orchidaceae,Myrosmodes paludosa,Myrosmodes paludosa,Myrosmodes paludosa,1
2019,Puna,April,OCC,C,3,Forb,Oxalidaceae,Oxalis,oreocharis,Oxalis oreocharis,1
2019,Puna,April,OCC,C,3,Gramminoid,Poaceae,Aciachne,pulvinata,Aciachne pulvinata,5
2019,Puna,April,OCC,C,3,Gramminoid,Poaceae,Anatherostipa,hans-meyeri,Anatherostipa hans-meyeri,4
2019,Puna,April,OCC,C,3,Gramminoid,Poaceae,Festuca,sp5,Festuca sp5,2
2019,Puna,April,OCC,C,3,Gramminoid,Poaceae,Poa,annua,Poa annua,1
2019,Puna,April,OCC,C,3,Gramminoid,Poaceae,Poaceae,sp1,Poaceae sp1,8
2019,Puna,April,OCC,C,3,Gramminoid,Poaceae,Poaceae,sp2,Poaceae sp2,4
2019,Puna,April,OCC,C,3,Forb,Rosaceae,Alchemilla,pinnata,Alchemilla pinnata,20
2019,Puna,April,OCC,C,3,Fern,NA,Bryophyte,unkown,Bryophyte unkown,3
2019,Puna,April,OCC,C,4,Forb,Apiaceae,Azorella,biloba,Azorella biloba,1
2019,Puna,April,OCC,C,4,Forb,Asteraceae,Gnaphalium,sp1,Gnaphalium sp1,1
2019,Puna,April,OCC,C,4,Forb,Asteraceae,Lucilia,kunthiana,Lucilia kunthiana,1
2019,Puna,April,OCC,C,4,Forb,Asteraceae,Oreithales,integrifolia,Oreithales integrifolia,25
2019,Puna,April,OCC,C,4,Forb,Asteraceae,Werneria,nubigena,Werneria nubigena,0.5
2019,Puna,April,OCC,C,4,Forb,Asteraceae,Werneria,pygmaea,Werneria pygmaea,0.5
2019,Puna,April,OCC,C,4,Woody,Asteraceae,Baccharis,caespitosa,Baccharis caespitosa,0.5
2019,Puna,April,OCC,C,4,Forb,Campanulaceae,Lobelia,oligophylla,Lobelia oligophylla,2
2019,Puna,April,OCC,C,4,Forb,Caryophyllaceae,Arenaria,digyna,Arenaria digyna,5
2019,Puna,April,OCC,C,4,Gramminoid,Cyperaceae,Oreobolus,goeppingeri,Oreobolus goeppingeri,15
2019,Puna,April,OCC,C,4,Forb,Fabaceae,Lupinus,microphyllus,Lupinus microphyllus,1
2019,Puna,April,OCC,C,4,Forb,Geraniaceae,Geranium,sessiliflorum,Geranium sessiliflorum,0.5
2019,Puna,April,OCC,C,4,Forb,Iridaceae,Sisyrinchium,sp3,Sisyrinchium sp3,0.5
2019,Puna,April,OCC,C,4,Gramminoid,Juncaceae,Luzula,racemosa,Luzula racemosa,15
2019,Puna,April,OCC,C,4,Forb,Orchidaceae,Myrosmodes paludosa,Myrosmodes paludosa,Myrosmodes paludosa,0.5
2019,Puna,April,OCC,C,4,Forb,Orobanchaceae,Bartsia,thiantha,Bartsia thiantha,0.5
2019,Puna,April,OCC,C,4,Forb,Oxalidaceae,Oxalis,oreocharis,Oxalis oreocharis,0.5
2019,Puna,April,OCC,C,4,Gramminoid,Poaceae,Aciachne,pulvinata,Aciachne pulvinata,7
