year,project,month,site,treatment,plot_id,functional_group,family,genus,species,taxon,cover
2020,PFTC5,March,QUE,BB,1,Forb,Rosaceae,Acaena,cylindristachya,Acaena cylindristachya,0.5
2020,PFTC5,March,QUE,BB,1,Forb,Asteraceae,Bidens,triplinervia,Bidens triplinervia,0.5
2020,PFTC5,March,QUE,BB,1,Gramminoid,Poaceae,Bromus,lanatus,Bromus lanatus,1
2020,PFTC5,March,QUE,BB,1,Forb,Euphobiaceae,Euphorbia,huanchahana,Euphorbia huanchahana,1
2020,PFTC5,March,QUE,BB,1,Forb,Rubiaceae,Galium,corymbosum,Galium corymbosum,0.5
2020,PFTC5,March,QUE,BB,1,Forb,Asteraceae,Hieracium,cf. mandonii,Hieracium cf. mandonii,0.5
2020,PFTC5,March,QUE,BB,1,Gramminoid,Poaceae,Festuca,sp4,Festuca sp4,2
2020,PFTC5,March,QUE,BB,1,Forb,Orchidaceae,Pterichis,sp1,Pterichis sp1,0.5
2020,PFTC5,March,QUE,BB,1,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,1
2020,PFTC5,March,QUE,BB,1,Gramminoid,Poaceae,Poa,spicigera,Poa spicigera,2
2020,PFTC5,March,QUE,BB,2,Gramminoid,Poaceae,Agrostis,trichodes,Agrostis trichodes,1
2020,PFTC5,March,QUE,BB,2,Gramminoid,Poaceae,Agrostis,breviculmis,Agrostis breviculmis,2
2020,PFTC5,March,QUE,BB,2,Forb,Asteraceae,Antennaria,linearifolia,Antennaria linearifolia,6
2020,PFTC5,March,QUE,BB,2,Forb,Asteraceae,Aphanactis,villosa,Aphanactis villosa,1
2020,PFTC5,March,QUE,BB,2,Woody,Asteraceae,Baccharis,caespitosa,Baccharis caespitosa,4
2020,PFTC5,March,QUE,BB,2,Forb,Caprifoliaceae,Belonanthus,hispidus,Belonanthus hispidus,1
2020,PFTC5,March,QUE,BB,2,Gramminoid,Poaceae,Bromus,lanatus,Bromus lanatus,0.5
2020,PFTC5,March,QUE,BB,2,Gramminoid,Poaceae,Festuca,cf. andina,Festuca cf. andina,1
2020,PFTC5,March,QUE,BB,2,Gramminoid,Poaceae,Calamagrostis,rigida,Calamagrostis rigida,5
2020,PFTC5,March,QUE,BB,2,Gramminoid,Poaceae,Festuca,sp4,Festuca sp4,3
2020,PFTC5,March,QUE,BB,2,Gramminoid,Poaceae,Anatherostipa,hans-meyeri,Anatherostipa hans-meyeri,20
2020,PFTC5,March,QUE,BB,2,Gramminoid,Cyperaceae,Carex,pichinchensis,Carex pichinchensis,20
2020,PFTC5,March,QUE,BB,2,Forb,Asteraceae,Hypochaeris,taraxacoides,Hypochaeris taraxacoides,4
2020,PFTC5,March,QUE,BB,2,Gramminoid,Juncaceae,Luzula,racemosa,Luzula racemosa,3
2020,PFTC5,March,QUE,BB,2,Gramminoid,Poaceae,Poa,spicigera,Poa spicigera,1
2020,PFTC5,March,QUE,BB,2,Forb,Asteraceae,Oritrophium,hieracioides,Oritrophium hieracioides,6
2020,PFTC5,March,QUE,BB,2,Forb,Oxalidaceae,Oxalis,oreocharis,Oxalis oreocharis,0.5
2020,PFTC5,March,QUE,BB,2,Forb,Asteraceae,Perezia,pungens,Perezia pungens,1
2020,PFTC5,March,QUE,BB,2,Forb,Violaceae,Viola,pygmaea,Viola pygmaea,0.5
2020,PFTC5,March,QUE,BB,2,Forb,Asteraceae,Werneria,villosa,Werneria villosa,1
2020,PFTC5,March,QUE,BB,2,Forb,Rosaceae,Lachemilla,jamesonii,Lachemilla jamesonii,0.5
2020,PFTC5,March,QUE,BB,2,Gramminoid,Cyperaceae,Carex,pygmaea,Carex pygmaea,3
2020,PFTC5,March,QUE,BB,2,Forb,Euphobiaceae,Euphorbia,huanchahana,Euphorbia huanchahana,0.5
2020,PFTC5,March,QUE,BB,2,Forb,Geraniaceae,Geranium,sessiliflorum,Geranium sessiliflorum,0.5
2020,PFTC5,March,QUE,BB,2,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,4
2020,PFTC5,March,QUE,BB,2,Forb,Asteraceae,Werneria,nubigena,Werneria nubigena,0.5
2020,PFTC5,March,QUE,BB,2,Forb,Orchidaceae,Pterichis,sp1,Pterichis sp1,0.5
2020,PFTC5,March,QUE,BB,2,Gramminoid,Cyperaceae,Carex,boliviensis,Carex boliviensis,0.5
2020,PFTC5,March,QUE,BB,2,Gramminoid,Poaceae,Festuca,sp4,Festuca sp4,3
2020,PFTC5,March,QUE,BB,2,Forb,Asteraceae,Gamochaeta,coarctata,Gamochaeta coarctata,0.5
2020,PFTC5,March,QUE,BB,3,Forb,Asteraceae,Antennaria,linearifolia,Antennaria linearifolia,3
2020,PFTC5,March,QUE,BB,3,Forb,Asteraceae,Aphanactis,villosa,Aphanactis villosa,4
2020,PFTC5,March,QUE,BB,3,Woody,Asteraceae,Baccharis,caespitosa,Baccharis caespitosa,0.5
2020,PFTC5,March,QUE,BB,3,Forb,Caprifoliaceae,Belonanthus,hispidus,Belonanthus hispidus,0.5
2020,PFTC5,March,QUE,BB,3,Gramminoid,Cyperaceae,Carex,pichinchensis,Carex pichinchensis,15
2020,PFTC5,March,QUE,BB,3,Gramminoid,Cyperaceae,Carex,pygmaea,Carex pygmaea,5
2020,PFTC5,March,QUE,BB,3,Forb,Gentianaceae,Gentiana,sedifolia,Gentiana sedifolia,0.5
2020,PFTC5,March,QUE,BB,3,Forb,Geraniaceae,Geranium,sessiliflorum,Geranium sessiliflorum,0.5
2020,PFTC5,March,QUE,BB,3,Woody,Hypericaceae,Hypericum,andinum,Hypericum andinum,0.5
2020,PFTC5,March,QUE,BB,3,Gramminoid,Juncaceae,Luzula,racemosa,Luzula racemosa,1
2020,PFTC5,March,QUE,BB,3,Forb,Campanulaceae,Lysipomia,glandulifera,Lysipomia glandulifera,0.5
2020,PFTC5,March,QUE,BB,3,Gramminoid,Poaceae,Poa,spicigera,Poa spicigera,0.5
2020,PFTC5,March,QUE,BB,3,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,25
2020,PFTC5,March,QUE,BB,3,Forb,Asteraceae,Oreithales,integrifolia,Oreithales integrifolia,5
2020,PFTC5,March,QUE,BB,3,Gramminoid,Poaceae,Agrostis,foliata,Agrostis foliata,2
2020,PFTC5,March,QUE,BB,3,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,0.5
2020,PFTC5,March,QUE,BB,3,Forb,Asteraceae,Werneria,nubigena,Werneria nubigena,1
2020,PFTC5,March,QUE,BB,3,Forb,Rosaceae,Acaena,cylindristachya,Acaena cylindristachya,0.5
2020,PFTC5,March,QUE,BB,3,Forb,Rosaceae,Lachemilla,cf. vulcanica,Lachemilla cf. vulcanica,0.5
2020,PFTC5,March,QUE,BB,3,Gramminoid,Poaceae,Bromus,lanatus,Bromus lanatus,0.5
2020,PFTC5,March,QUE,BB,3,Gramminoid,Poaceae,Anatherostipa,hans-meyeri,Anatherostipa hans-meyeri,4
2020,PFTC5,March,QUE,BB,3,Gramminoid,Cyperaceae,Oreobolus,goeppingeri,Oreobolus goeppingeri,0.5
2020,PFTC5,March,QUE,BB,3,Gramminoid,Poaceae,Agrostis,breviculmis,Agrostis breviculmis,1
2020,PFTC5,March,QUE,BB,3,Forb,Orobanchaceae,Bartsia,trichophylla,Bartsia trichophylla,0.5
2020,PFTC5,March,QUE,BB,3,Forb,Oxalidaceae,Oxalis,oreocharis,Oxalis oreocharis,0.5
2020,PFTC5,March,QUE,BB,4,Forb,Asteraceae,Antennaria,linearifolia,Antennaria linearifolia,1
2020,PFTC5,March,QUE,BB,4,Gramminoid,Poaceae,Bromus,lanatus,Bromus lanatus,0.5
2020,PFTC5,March,QUE,BB,4,Gramminoid,Poaceae,Anatherostipa,hans-meyeri,Anatherostipa hans-meyeri,2
2020,PFTC5,March,QUE,BB,4,Gramminoid,Cyperaceae,Carex,pichinchensis,Carex pichinchensis,1
2020,PFTC5,March,QUE,BB,4,Gramminoid,Cyperaceae,Carex,pygmaea,Carex pygmaea,25
2020,PFTC5,March,QUE,BB,4,Forb,Gentianaceae,Gentiana,sedifolia,Gentiana sedifolia,0.5
2020,PFTC5,March,QUE,BB,4,Forb,Geraniaceae,Geranium,sessiliflorum,Geranium sessiliflorum,0.5
2020,PFTC5,March,QUE,BB,4,Woody,Hypericaceae,Hypericum,andinum,Hypericum andinum,0.5
2020,PFTC5,March,QUE,BB,4,Forb,Asteraceae,Hypochaeris,taraxacoides,Hypochaeris taraxacoides,2
2020,PFTC5,March,QUE,BB,4,Gramminoid,Juncaceae,Luzula,racemosa,Luzula racemosa,2
2020,PFTC5,March,QUE,BB,4,Gramminoid,Poaceae,Calamagrostis,rigida,Calamagrostis rigida,5
2020,PFTC5,March,QUE,BB,4,Forb,Asteraceae,Oritrophium,hieracioides,Oritrophium hieracioides,1
2020,PFTC5,March,QUE,BB,4,Forb,Oxalidaceae,Oxalis,oreocharis,Oxalis oreocharis,0.5
2020,PFTC5,March,QUE,BB,4,Gramminoid,Poaceae,Agrostis,foliata,Agrostis foliata,1
2020,PFTC5,March,QUE,BB,4,Gramminoid,Cyperaceae,Rhynchospora,macrochaeta,Rhynchospora macrochaeta,8
2020,PFTC5,March,QUE,BB,4,Forb,Asteraceae,Werneria,nubigena,Werneria nubigena,1
2020,PFTC5,March,QUE,BB,4,Gramminoid,Poaceae,Agrostis,breviculmis,Agrostis breviculmis,0.5
2020,PFTC5,March,QUE,BB,4,Forb,Rosaceae,Lachemilla,cf. vulcanica,Lachemilla cf. vulcanica,0.5
2020,PFTC5,March,QUE,BB,4,Forb,Rosaceae,Lachemilla,jamesonii,Lachemilla jamesonii,0.5
2020,PFTC5,March,QUE,BB,4,Woody,Asteraceae,Baccharis,caespitosa,Baccharis caespitosa,0.5
2020,PFTC5,March,QUE,BB,4,Forb,Orobanchaceae,Bartsia,trichophylla,Bartsia trichophylla,0.5
2020,PFTC5,March,QUE,BB,4,Woody,Ericaceae,Pernettya,prostrata,Pernettya prostrata,0.5
2020,PFTC5,March,QUE,BB,4,Forb,Apiaceae,Azorella,biloba,Azorella biloba,0.5
2020,PFTC5,March,QUE,BB,4,Forb,Caprifoliaceae,Belonanthus,hispidus,Belonanthus hispidus,0.5
2020,PFTC5,March,QUE,BB,4,Forb,Euphobiaceae,Euphorbia,huanchahana,Euphorbia huanchahana,1
2020,PFTC5,March,QUE,BB,4,Forb,Asteraceae,Gamochaeta,coarctata,Gamochaeta coarctata,0.5
2020,PFTC5,March,QUE,BB,4,Fern,Lycopodiaceae,Huperzia,weberbaueri,Huperzia weberbaueri,0.5
2020,PFTC5,March,QUE,BB,4,Gramminoid,Cyperaceae,Carex,boliviensis,Carex boliviensis,5
2020,PFTC5,March,QUE,BB,4,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,10
2020,PFTC5,March,QUE,BB,5,Gramminoid,Poaceae,Agrostis,trichodes,Agrostis trichodes,0.5
2020,PFTC5,March,QUE,BB,5,Forb,Asteraceae,Antennaria,linearifolia,Antennaria linearifolia,1
2020,PFTC5,March,QUE,BB,5,Forb,Asteraceae,Aphanactis,villosa,Aphanactis villosa,0.5
2020,PFTC5,March,QUE,BB,5,Woody,Asteraceae,Baccharis,caespitosa,Baccharis caespitosa,1
2020,PFTC5,March,QUE,BB,5,Forb,Asteraceae,Gamochaeta,coarctata,Gamochaeta coarctata,0.5
2020,PFTC5,March,QUE,BB,5,Gramminoid,Poaceae,Bromus,lanatus,Bromus lanatus,0.5
2020,PFTC5,March,QUE,BB,5,Gramminoid,Poaceae,Anatherostipa,hans-meyeri,Anatherostipa hans-meyeri,10
2020,PFTC5,March,QUE,BB,5,Gramminoid,Cyperaceae,Carex,pygmaea,Carex pygmaea,1
2020,PFTC5,March,QUE,BB,5,Forb,Euphobiaceae,Euphorbia,huanchahana,Euphorbia huanchahana,0.5
2020,PFTC5,March,QUE,BB,5,Woody,Ericaceae,Gaultheria,glomerata,Gaultheria glomerata,0.5
2020,PFTC5,March,QUE,BB,5,Forb,Gentianaceae,Gentiana,sedifolia,Gentiana sedifolia,0.5
2020,PFTC5,March,QUE,BB,5,Forb,Gentianaceae,Gentianella,ernestii,Gentianella ernestii,2
2020,PFTC5,March,QUE,BB,5,Fern,Lycopodiaceae,Huperzia,weberbaueri,Huperzia weberbaueri,0.5
2020,PFTC5,March,QUE,BB,5,Woody,Hypericaceae,Hypericum,andinum,Hypericum andinum,4
2020,PFTC5,March,QUE,BB,5,Forb,Asteraceae,Hypochaeris,taraxacoides,Hypochaeris taraxacoides,4
2020,PFTC5,March,QUE,BB,5,Gramminoid,Juncaceae,Luzula,racemosa,Luzula racemosa,2
2020,PFTC5,March,QUE,BB,5,Forb,Campanulaceae,Lysipomia,glandulifera,Lysipomia glandulifera,0.5
2020,PFTC5,March,QUE,BB,5,Gramminoid,Poaceae,Poa,spicigera,Poa spicigera,0.5
2020,PFTC5,March,QUE,BB,5,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,10
2020,PFTC5,March,QUE,BB,5,Gramminoid,Poaceae,Calamagrostis,rigida,Calamagrostis rigida,5
2020,PFTC5,March,QUE,BB,5,Forb,Asteraceae,Oritrophium,hieracioides,Oritrophium hieracioides,1
2020,PFTC5,March,QUE,BB,5,Gramminoid,Cyperaceae,Oreobolus,goeppingeri,Oreobolus goeppingeri,1
2020,PFTC5,March,QUE,BB,5,Gramminoid,Poaceae,Agrostis,foliata,Agrostis foliata,2
2020,PFTC5,March,QUE,BB,5,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,10
2020,PFTC5,March,QUE,BB,5,Forb,Violaceae,Viola,pygmaea,Viola pygmaea,0.5
2020,PFTC5,March,QUE,BB,5,Forb,Asteraceae,Werneria,nubigena,Werneria nubigena,2
2020,PFTC5,March,QUE,BB,5,Forb,Rosaceae,Lachemilla,cf. vulcanica,Lachemilla cf. vulcanica,0.5
2020,PFTC5,March,QUE,BB,5,Gramminoid,Poaceae,Anatherostipa,hans-meyeri,Anatherostipa hans-meyeri,2
2020,PFTC5,March,QUE,BB,5,Forb,Geraniaceae,Geranium,sessiliflorum,Geranium sessiliflorum,0.5
2020,PFTC5,March,QUE,BB,5,Forb,Asteraceae,Oreithales,integrifolia,Oreithales integrifolia,8
2020,PFTC5,March,QUE,BB,5,Forb,Orobanchaceae,Bartsia,trichophylla,Bartsia trichophylla,0.5
2020,PFTC5,March,TRE,C,1,Gramminoid,Poaceae,Agrostis,mertensii,Agrostis mertensii,1
2020,PFTC5,March,TRE,C,1,Gramminoid,Poaceae,Calamagrostis,cf. amoena,Calamagrostis cf. amoena,15
2020,PFTC5,March,TRE,C,1,Gramminoid,Poaceae,Bromus,lanatus,Bromus lanatus,0.5
2020,PFTC5,March,TRE,C,1,Gramminoid,Cyperaceae,Carex,pichinchensis,Carex pichinchensis,35
2020,PFTC5,March,TRE,C,1,Woody,Ericaceae,Gaultheria,glomerata,Gaultheria glomerata,0.5
2020,PFTC5,March,TRE,C,1,Forb,Gentianaceae,Gentiana,sedifolia,Gentiana sedifolia,0.5
2020,PFTC5,March,TRE,C,1,Forb,Gentianaceae,Halenia,umbellata,Halenia umbellata,0.5
2020,PFTC5,March,TRE,C,1,Woody,Hypericaceae,Hypericum,andinum,Hypericum andinum,25
2020,PFTC5,March,TRE,C,1,Forb,Asteraceae,Hypochaeris,taraxacoides,Hypochaeris taraxacoides,1
2020,PFTC5,March,TRE,C,1,Fern,Lycopodiaceae,Lycopodium,clavatum,Lycopodium clavatum,0.5
2020,PFTC5,March,TRE,C,1,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,4
2020,PFTC5,March,TRE,C,1,Gramminoid,Poaceae,Paspalum,bonplandianum,Paspalum bonplandianum,4
2020,PFTC5,March,TRE,C,1,Forb,Asteraceae,Perezia,pungens,Perezia pungens,1
2020,PFTC5,March,TRE,C,1,Woody,Ericaceae,Pernettya,prostrata,Pernettya prostrata,0.5
2020,PFTC5,March,TRE,C,1,Forb,Orchidaceae,Pterichis,sp1,Pterichis sp1,0.5
2020,PFTC5,March,TRE,C,1,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,0.5
2020,PFTC5,March,TRE,C,1,Forb,Violaceae,Viola,pygmaea,Viola pygmaea,1
2020,PFTC5,March,TRE,C,1,Woody,Asteraceae,Baccharis,caespitosa,Baccharis caespitosa,0.5
2020,PFTC5,March,TRE,C,1,Gramminoid,Cyperaceae,Carex,pygmaea,Carex pygmaea,0.5
2020,PFTC5,March,TRE,C,1,Gramminoid,Poaceae,Festuca,dolichophylla,Festuca dolichophylla,0.5
2020,PFTC5,March,TRE,C,1,Gramminoid,Cyperaceae,Rhynchospora,macrochaeta,Rhynchospora macrochaeta,1
2020,PFTC5,March,TRE,C,2,Gramminoid,Poaceae,Agrostis,mertensii,Agrostis mertensii,0.5
2020,PFTC5,March,TRE,C,2,Forb,Rosaceae,Lachemilla,orbiculata,Lachemilla orbiculata,1
2020,PFTC5,March,TRE,C,2,Woody,Asteraceae,Baccharis,genistelloides,Baccharis genistelloides,0.5
2020,PFTC5,March,TRE,C,2,Gramminoid,Poaceae,Calamagrostis,cf. amoena,Calamagrostis cf. amoena,1
2020,PFTC5,March,TRE,C,2,Gramminoid,Cyperaceae,Carex,bonplandii,Carex bonplandii,2
2020,PFTC5,March,TRE,C,2,Gramminoid,Cyperaceae,Carex,pichinchensis,Carex pichinchensis,2
2020,PFTC5,March,TRE,C,2,Gramminoid,Poaceae,Festuca,dolichophylla,Festuca dolichophylla,2
2020,PFTC5,March,TRE,C,2,Forb,Gentianaceae,Halenia,umbellata,Halenia umbellata,0.5
2020,PFTC5,March,TRE,C,2,Woody,Hypericaceae,Hypericum,andinum,Hypericum andinum,0.5
2020,PFTC5,March,TRE,C,2,Gramminoid,Cyperaceae,Trichophorum,rigidum,Trichophorum rigidum,4
2020,PFTC5,March,TRE,C,2,Gramminoid,Juncaceae,Luzula,racemosa,Luzula racemosa,0.5
2020,PFTC5,March,TRE,C,2,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,50
2020,PFTC5,March,TRE,C,2,Forb,Asteraceae,Oreithales,integrifolia,Oreithales integrifolia,0.5
2020,PFTC5,March,TRE,C,2,Forb,Asteraceae,Oritrophium,hieracioides,Oritrophium hieracioides,0.5
2020,PFTC5,March,TRE,C,2,Gramminoid,Poaceae,Paspalum,bonplandianum,Paspalum bonplandianum,0.5
2020,PFTC5,March,TRE,C,2,Gramminoid,Cyperaceae,Rhynchospora,macrochaeta,Rhynchospora macrochaeta,1
2020,PFTC5,March,TRE,C,2,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,2
2020,PFTC5,March,TRE,C,2,Forb,Asteraceae,Hypochaeris,taraxacoides,Hypochaeris taraxacoides,0.5
2020,PFTC5,March,TRE,C,3,Forb,Rosaceae,Lachemilla,jamesonii,Lachemilla jamesonii,2
2020,PFTC5,March,TRE,C,3,Woody,Asteraceae,Baccharis,caespitosa,Baccharis caespitosa,0.5
2020,PFTC5,March,TRE,C,3,Forb,Asteraceae,Bidens,triplinervia,Bidens triplinervia,0.5
2020,PFTC5,March,TRE,C,3,Gramminoid,Poaceae,Calamagrostis,cf. amoena,Calamagrostis cf. amoena,30
2020,PFTC5,March,TRE,C,3,Gramminoid,Cyperaceae,Carex,bonplandii,Carex bonplandii,1
2020,PFTC5,March,TRE,C,3,Gramminoid,Cyperaceae,Carex,pichinchensis,Carex pichinchensis,25
2020,PFTC5,March,TRE,C,3,Gramminoid,Poaceae,Chusquea,intipaqariy,Chusquea intipaqariy,10
2020,PFTC5,March,TRE,C,3,Forb,Euphobiaceae,Euphorbia,huanchahana,Euphorbia huanchahana,0.5
2020,PFTC5,March,TRE,C,3,Forb,Gentianaceae,Gentiana,sedifolia,Gentiana sedifolia,0.5
2020,PFTC5,March,TRE,C,3,Forb,Gentianaceae,Halenia,umbellata,Halenia umbellata,3
2020,PFTC5,March,TRE,C,3,Woody,Hypericaceae,Hypericum,andinum,Hypericum andinum,10
2020,PFTC5,March,TRE,C,3,Forb,Asteraceae,Hypochaeris,taraxacoides,Hypochaeris taraxacoides,4
2020,PFTC5,March,TRE,C,3,Gramminoid,Cyperaceae,Trichophorum,rigidum,Trichophorum rigidum,4
2020,PFTC5,March,TRE,C,3,Forb,Asteraceae,Oritrophium,hieracioides,Oritrophium hieracioides,0.5
2020,PFTC5,March,TRE,C,3,Gramminoid,Poaceae,Paspalum,bonplandianum,Paspalum bonplandianum,1
2020,PFTC5,March,TRE,C,3,Woody,Ericaceae,Pernettya,prostrata,Pernettya prostrata,0.5
2020,PFTC5,March,TRE,C,3,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,3
2020,PFTC5,March,TRE,C,3,Forb,Violaceae,Viola,pygmaea,Viola pygmaea,1
2020,PFTC5,March,TRE,C,3,Forb,Rosaceae,Acaena,cylindristachya,Acaena cylindristachya,0.5
2020,PFTC5,March,TRE,C,3,Forb,Rosaceae,Lachemilla,orbiculata,Lachemilla orbiculata,1
2020,PFTC5,March,TRE,C,3,Gramminoid,Cyperaceae,Carex,pygmaea,Carex pygmaea,3
2020,PFTC5,March,TRE,C,3,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,20
2020,PFTC5,March,TRE,C,3,Forb,Asteraceae,Oreithales,integrifolia,Oreithales integrifolia,1
2020,PFTC5,March,TRE,C,3,Gramminoid,Cyperaceae,Rhynchospora,macrochaeta,Rhynchospora macrochaeta,2
2020,PFTC5,March,TRE,C,3,Gramminoid,Poaceae,Festuca,dolichophylla,Festuca dolichophylla,1
2020,PFTC5,March,TRE,C,3,Forb,Orchidaceae,Pterichis,sp1,Pterichis sp1,0.5
2020,PFTC5,March,TRE,C,4,Forb,Rosaceae,Lachemilla,cf. vulcanica,Lachemilla cf. vulcanica,0.5
2020,PFTC5,March,TRE,C,4,Woody,Asteraceae,Baccharis,genistelloides,Baccharis genistelloides,0.5
2020,PFTC5,March,TRE,C,4,Gramminoid,Cyperaceae,Carex,pichinchensis,Carex pichinchensis,12
2020,PFTC5,March,TRE,C,4,Gramminoid,Cyperaceae,Carex,pygmaea,Carex pygmaea,10
2020,PFTC5,March,TRE,C,4,Gramminoid,Poaceae,Festuca,dolichophylla,Festuca dolichophylla,0.5
2020,PFTC5,March,TRE,C,4,Woody,Ericaceae,Gaultheria,glomerata,Gaultheria glomerata,4
2020,PFTC5,March,TRE,C,4,Forb,Gentianaceae,Halenia,umbellata,Halenia umbellata,0.5
2020,PFTC5,March,TRE,C,4,Forb,Asteraceae,Hypochaeris,taraxacoides,Hypochaeris taraxacoides,1
2020,PFTC5,March,TRE,C,4,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,35
2020,PFTC5,March,TRE,C,4,Forb,Asteraceae,Perezia,pungens,Perezia pungens,2
2020,PFTC5,March,TRE,C,4,Woody,Ericaceae,Pernettya,prostrata,Pernettya prostrata,1
2020,PFTC5,March,TRE,C,4,Gramminoid,Cyperaceae,Rhynchospora,macrochaeta,Rhynchospora macrochaeta,10
2020,PFTC5,March,TRE,C,4,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,16
2020,PFTC5,March,TRE,C,4,Forb,Violaceae,Viola,pygmaea,Viola pygmaea,0.5
2020,PFTC5,March,TRE,C,4,Forb,Orchidaceae,Pterichis,sp1,Pterichis sp1,0.5
2020,PFTC5,March,TRE,C,5,Woody,Asteraceae,Baccharis,genistelloides,Baccharis genistelloides,1
2020,PFTC5,March,TRE,C,5,Gramminoid,Poaceae,Bromus,lanatus,Bromus lanatus,0.5
2020,PFTC5,March,TRE,C,5,Gramminoid,Poaceae,Calamagrostis,cf. amoena,Calamagrostis cf. amoena,25
2020,PFTC5,March,TRE,C,5,Gramminoid,Poaceae,Festuca,dolichophylla,Festuca dolichophylla,5
2020,PFTC5,March,TRE,C,5,Woody,Ericaceae,Gaultheria,glomerata,Gaultheria glomerata,10
2020,PFTC5,March,TRE,C,5,Forb,Gentianaceae,Halenia,umbellata,Halenia umbellata,1
2020,PFTC5,March,TRE,C,5,Woody,Hypericaceae,Hypericum,andinum,Hypericum andinum,2
2020,PFTC5,March,TRE,C,5,Gramminoid,Cyperaceae,Trichophorum,rigidum,Trichophorum rigidum,8
2020,PFTC5,March,TRE,C,5,Gramminoid,Juncaceae,Luzula,racemosa,Luzula racemosa,3
2020,PFTC5,March,TRE,C,5,Fern,Lycopodiaceae,Lycopodium,clavatum,Lycopodium clavatum,5
2020,PFTC5,March,TRE,C,5,Gramminoid,Poaceae,Paspalum,bonplandianum,Paspalum bonplandianum,5
2020,PFTC5,March,TRE,C,5,Woody,Ericaceae,Pernettya,prostrata,Pernettya prostrata,0.5
2020,PFTC5,March,TRE,C,5,Gramminoid,Cyperaceae,Rhynchospora,macrochaeta,Rhynchospora macrochaeta,12
2020,PFTC5,March,TRE,C,5,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,25
2020,PFTC5,March,TRE,C,5,Forb,Asteraceae,Werneria,nubigena,Werneria nubigena,0.5
