id,country,year,project,treatment,site,elevation,latitude,longitude,gradient,plot_id,taxon,genus,species,date,individual_nr,plant_height_cm,wet_mass_total_g,leaf_thickness_ave_mm,leaf_area_total_cm2,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,bulk,nr_leaves,number_leaves_scan,area_flag,dry_flag,wet_flag,comment,dry_mass_total_g,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc
AAQ2602,PE,2018,TRUE,C,ACJ,3487.7,-13.1761,-71.628834,1,2,Melpomene moniliformis,Melpomene,moniliformis,2018-03-18T00:00:00Z,3,16,0.192,0.377333333,NA,0.401,0.384,0.347,NA,1,NA,NA,NA,NA,Leaf Area Box not ticked,0.086,NA,NA,NA,NA,NA
AAR7417,PE,2018,TRUE,C,ACJ,3487.7,-13.1761,-71.628834,1,2,Melpomene moniliformis,Melpomene,moniliformis,2018-03-18T00:00:00Z,1,13,0.258,0.281,7.26,0.289,0.24,0.314,NA,1,2,NA,NA,NA,NA,0.101,0.258,NA,7.26,NA,NA
AAS6673,PE,2018,TRUE,B,QUE,3889.8,-13.214146,-71.619396,1,4,Baccharis caespitosa,Baccharis,caespitosa,NA,3,2,0.036,0.185666667,1.667,0.176,0.168,0.213,bulk,1,22,NA,NA,NA,NA,0.023,NA,NA,NA,NA,NA
AAT3650,PE,2018,TRUE,B,QUE,3889.8,-13.214146,-71.619396,1,4,Baccharis caespitosa,Baccharis,caespitosa,NA,2,2,0.033,0.323333333,1.07,0.372,0.322,0.276,bulk,1,20,NA,NA,NA,NA,0.017,NA,NA,NA,NA,NA
AAY4691,PE,2018,TRUE,C,ACJ,3487.7,-13.1761,-71.628834,1,2,Vaccinium floribundum,Vaccinium,floribundum,2018-03-18T00:00:00Z,3,23,0.14,0.475333333,NA,0.475,0.464,0.487,NA,1,NA,NA,NA,NA,NA,0.087,NA,NA,NA,NA,NA
ABA0236,PE,2018,TRUE,C,ACJ,3487.7,-13.1761,-71.628834,1,2,Vaccinium floribundum,Vaccinium,floribundum,2018-03-18T00:00:00Z,2,27,0.295,0.532,NA,0.572,0.483,0.541,bulk,10,NA,NA,NA,NA,Leaf Area Box not ticked,0.0145,NA,NA,NA,NA,NA
ABJ1726,PE,2018,TRUE,B,QUE,3889.8,-13.214146,-71.619396,1,4,Alchemilla vulcanica,Alchemilla,vulcanica,2018-03-17T00:00:00Z,1,1,0.063,0.169,2.885,0.203,0.148,0.156,bulk,10,17,NA,NA,NA,NA,0.032,0.0063,0.0032,0.2885,90.15625,0.507936508
ABK3931,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Perezia macrocephala,Perezia,macrocephala,2018-03-17T00:00:00Z,5,11,0.098,0.3,3.025,0.286,0.308,0.306,NA,1,3,NA,NA,NA,NA,0.031,0.098,0.031,3.025,97.58064516,0.316326531
ABL1894,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Viola pygmaea,Viola,pygmaea,NA,5,6,0.118,0.216,3.093,0.219,0.202,0.227,bulk,5,8,NA,NA,NA,NA,0.025,0.0236,0.005,0.6186,123.72,0.211864407
ABU0409,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Unknown hairy leaf,Unknown,hairy leaf,NA,3,4,0.032,0.212666667,1.799,0.209,0.21,0.219,bulk,2,2,NA,NA,NA,NA,0.012,0.016,0.006,0.8995,149.9166667,0.375
ACE5542,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Baccharis caespitosa,Baccharis,caespitosa,NA,4,2,0.028,0.448666667,0.88,0.438,0.438,0.47,bulk,1,9,NA,NA,NA,NA,0.024,NA,NA,NA,NA,NA
ACF9086,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Baccharis caespitosa,Baccharis,caespitosa,2018-03-17T00:00:00Z,3,1,0.018,0.334666667,0.691,0.314,0.336,0.354,bulk,1,12,NA,NA,NA,NA,0.017,NA,NA,NA,NA,NA
ACG1598,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Baccharis caespitosa,Baccharis,caespitosa,2018-03-17T00:00:00Z,2,1,0.018,0.292,1.066,0.317,0.255,0.304,bulk,1,19,NA,NA,NA,NA,0.018,NA,NA,NA,NA,NA
ACH7127,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Baccharis caespitosa,Baccharis,caespitosa,NA,1,1,0.012,0.236,0.51,0.237,0.221,0.25,bulk,1,10,NA,NA,NA,NA,0.017,NA,NA,NA,NA,NA
ACL5822,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Perezia macrocephala,Perezia,macrocephala,2018-03-17T00:00:00Z,3,NA,0.256,0.336,5.797,0.322,0.353,0.333,NA,1,2,NA,NA,NA,Height not measured,0.081,0.256,0.081,5.797,71.56790123,0.31640625
ACM1399,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Perezia macrocephala,Perezia,macrocephala,2018-03-17T00:00:00Z,2,7,0.259,0.379666667,6.132,0.365,0.395,0.379,NA,1,2,NA,NA,NA,NA,0.077,0.259,0.077,6.132,79.63636364,0.297297297
ACN4519,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Perezia macrocephala,Perezia,macrocephala,2018-03-17T00:00:00Z,1,12,0.1,0.266666667,3.75,0.299,0.269,0.232,bulk,5,5,NA,NA,NA,NA,0.033,0.02,0.0066,0.75,113.6363636,0.33
ACO8380,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Perezia macrocephala,Perezia,macrocephala,2018-03-17T00:00:00Z,4,5,0.037,0.018766667,1.332,0.0164,0.0159,0.024,NA,1,2,NA,NA,NA,NA,0.016,0.037,0.016,1.332,83.25,0.432432432
ACP3418,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Gaultheria glomerata,Gaultheria,glomerata,NA,1,8,0.149,0.422333333,3.482,0.441,0.399,0.427,NA,1,2,NA,NA,NA,NA,0.081,0.149,0.081,3.482,42.98765432,0.543624161
ACQ1475,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Baccharis caespitosa,Baccharis,caespitosa,NA,5,1,0.02,0.151,0.69,0.138,0.187,0.128,bulk,1,11,NA,NA,NA,NA,0.018,NA,NA,NA,NA,NA
ACS5936,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Unknown hairy leaf,Unknown,hairy leaf,2018-03-17T00:00:00Z,2,4,0.035,0.152666667,2.142,0.183,0.107,0.168,bulk,2,2,NA,NA,NA,NA,0.023,0.0175,0.0115,1.071,93.13043478,0.657142857
ACT4695,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Unknown hairy leaf,Unknown,hairy leaf,2018-03-17T00:00:00Z,1,4,0.013,0.218333333,0.844,0.218,0.245,0.192,bulk,2,2,NA,Dry_larger_Wet _,NA,NA,0.016,0.0065,0.008,0.422,52.75,1.230769231
ACU6069,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Viola pygmaea,Viola,pygmaea,2018-03-17T00:00:00Z,4,3,0.113,0.335666667,2.37,0.46,0.317,0.23,bulk,5,6,NA,NA,NA,NA,0.033,0.0226,0.0066,0.474,71.81818182,0.292035398
ACV5843,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Viola pygmaea,Viola,pygmaea,2018-03-17T00:00:00Z,3,3,0.094,0.468,1.751,0.491,0.461,0.452,bulk,5,6,NA,NA,NA,NA,0.027,0.0188,0.0054,0.3502,64.85185185,0.287234043
ACW8338,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Viola pygmaea,Viola,pygmaea,2018-03-17T00:00:00Z,2,4,0.07,0.378333333,1.752,0.393,0.332,0.41,bulk,5,5,NA,NA,NA,NA,0.028,0.014,0.0056,0.3504,62.57142857,0.4
ACX5615,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Viola pygmaea,Viola,pygmaea,2018-03-17T00:00:00Z,1,7,0.063,0.014833333,1.628,0.015,0.015,0.0145,bulk,5,5,NA,NA,NA,NA,0.025,0.0126,0.005,0.3256,65.12,0.396825397
ACZ6825,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Gentiana sedifolia,Gentiana,sedifolia,NA,2,4,0.041,0.156666667,0.896,0.149,0.188,0.133,bulk,20,20,NA,NA,NA,NA,0.028,0.00205,0.0014,0.0448,32,0.682926829
ADD2466,PE,2018,TRUE,B,WAY,3077.1,-13.180036,-71.588263,1,3,Calamagrostis sp3,Calamagrostis,sp3,2018-03-18T00:00:00Z,5,62,0.225,0.388666667,5.436,0.388,0.395,0.383,NA,1,5,NA,NA,NA,NA,0.129,0.225,0.129,5.436,42.13953488,0.573333333
ADG3243,PE,2018,TRUE,B,WAY,3077.1,-13.180036,-71.588263,1,3,Calamagrostis sp2,Calamagrostis,sp2,2018-03-17T00:00:00Z,2,52,0.137,0.362666667,3.69,0.366,0.365,0.357,NA,1,1,NA,NA,NA,NA,0.074,0.137,0.074,3.69,49.86486486,0.540145985
ADI2438,PE,2018,TRUE,B,WAY,3077.1,-13.180036,-71.588263,1,3,Calamagrostis sp2,Calamagrostis,sp2,2018-03-17T00:00:00Z,1,80,0.27,0.294666667,4.703,0.254,0.288,0.342,NA,1,5,NA,NA,NA,NA,0.132,0.27,0.132,4.703,35.62878788,0.488888889
ADK4294,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Gentiana sedifolia,Gentiana,sedifolia,2018-03-17T00:00:00Z,4,NA,0.05,0.253333333,1.386,0.247,0.298,0.215,bulk,20,21,NA,NA,NA,Height not measured,0.017,0.0025,8.5e-4,0.0693,81.52941176,0.34
ADL2506,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Gentiana sedifolia,Gentiana,sedifolia,2018-03-17T00:00:00Z,3,5,0.027,0.227333333,1.109,0.219,0.222,0.241,bulk,20,20,NA,NA,NA,NA,0.022,0.00135,0.0011,0.05545,50.40909091,0.814814815
ADN1031,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Gentiana sedifolia,Gentiana,sedifolia,2018-03-17T00:00:00Z,1,2,0.023,0.202333333,0.85,0.219,0.228,0.16,bulk,20,19,NA,NA,NA,NA,0.021,0.00115,0.00105,0.0425,40.47619048,0.913043478
ADP5320,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Gaultheria glomerata,Gaultheria,glomerata,2018-03-17T00:00:00Z,3,8,0.175,0.597,7.402,0.571,0.617,0.603,NA,1,2,NA,NA,NA,NA,0.051,0.175,0.051,7.402,145.1372549,0.291428571
ADR3938,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Gaultheria glomerata,Gaultheria,glomerata,2018-03-17T00:00:00Z,2,6,0.299,0.568666667,6.813,0.526,0.588,0.592,NA,1,1,NA,NA,NA,NA,0.107,0.299,0.107,6.813,63.6728972,0.357859532
ADU4173,PE,2018,TRUE,B,WAY,3077.1,-13.180036,-71.588263,1,3,Rhynchospora aristata,Rhynchospora,aristata,NA,3,78,0.09,0.203333333,40.908,0.191,0.205,0.214,NA,1,5,NA,Dry_larger_Wet _,NA,NA,0.514,0.09,0.514,40.908,79.58754864,5.711111111
ADY4723,PE,2018,TRUE,B,WAY,3077.1,-13.180036,-71.588263,1,3,Rhynchospora sp,Rhynchospora,sp,2018-03-17T00:00:00Z,4,43,0.438,0.306,19.459,0.277,0.332,0.309,NA,1,2,NA,NA,NA,NA,0.213,0.438,0.213,19.459,91.35680751,0.48630137
AEB7555,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Agrostis sp1,Agrostis,sp1,2018-03-17T00:00:00Z,3,6,0.018,0.164666667,1.754,0.166,0.172,0.156,bulk,5,10,NA,NA,NA,NA,0.008,0.0036,0.0016,0.3508,219.25,0.444444444
AEC2261,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Agrostis sp1,Agrostis,sp1,2018-03-17T00:00:00Z,4,7,0.043,0.277666667,2.238,0.271,0.278,0.284,bulk,10,13,NA,NA,NA,NA,0.015,0.0043,0.0015,0.2238,149.2,0.348837209
AEF0459,PE,2018,TRUE,B,WAY,3077.1,-13.180036,-71.588263,1,3,Bromus spblue,Bromus,spblue,2018-03-18T00:00:00Z,5,103,0.682,0.427,19.589,0.472,0.392,0.417,NA,1,6,NA,NA,NA,NA,0.324,0.682,0.324,19.589,60.45987654,0.475073314
AEI6230,PE,2018,TRUE,B,WAY,3077.1,-13.180036,-71.588263,1,3,Rhynchospora aristata,Rhynchospora,aristata,2018-03-18T00:00:00Z,1,38,0.227,0.223666667,11.178,0.22,0.235,0.216,NA,1,1,NA,NA,NA,NA,0.094,0.227,0.094,11.178,118.9148936,0.414096916
AEM2494,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Agrostis sp1,Agrostis,sp1,2018-03-17T00:00:00Z,2,4,0.014,0.140666667,0.681,0.13,0.161,0.131,bulk,7,7,NA,NA,NA,NA,0.006,0.002,8.57e-4,0.097285714,113.5,0.428571429
AEP1175,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Calamagrostis spq,Calamagrostis,spq,2018-03-17T00:00:00Z,5,11,0.051,0.165666667,1.657,0.191,0.166,0.14,bulk,6,8,NA,NA,NA,NA,0.042,0.0085,0.007,0.276166667,39.45238095,0.823529412
AER8651,PE,2018,TRUE,C,WAY,3125,-13.18058,-71.589928,1,5,Carex boliviensis,Carex,boliviensis,2018-03-18T00:00:00Z,5,9,0.067,0.007666667,5.162,0.008,0.008,0.007,bulk,2,3,NA,NA,NA,NA,0.021,0.0335,0.0105,2.581,245.8095238,0.313432836
AET3028,PE,2018,TRUE,B,WAY,3077.1,-13.180036,-71.588263,1,3,Rhynchospora aristata,Rhynchospora,aristata,2018-03-18T00:00:00Z,2,29,0.248,0.246,8.756,0.241,0.222,0.275,NA,1,2,NA,NA,NA,NA,0.08,0.248,0.08,8.756,109.45,0.322580645
AEY3990,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Calamagrostis spq,Calamagrostis,spq,2018-03-17T00:00:00Z,3,13,0.053,0.21,5.764,0.219,0.198,0.213,bulk,5,12,NA,NA,NA,NA,0.041,0.0106,0.0082,1.1528,140.5853659,0.773584906
AFA0030,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Calamagrostis spq,Calamagrostis,spq,2018-03-17T00:00:00Z,4,14,0.048,0.167666667,1.816,0.181,0.171,0.151,NA,1,12,NA,NA,NA,NA,0.024,0.048,0.024,1.816,75.66666667,0.5
AFD1213,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Phippsia sp,Phippsia,sp,2018-03-17T00:00:00Z,4,10,0.06,0.296333333,2.155,0.29,0.289,0.31,bulk,8,9,NA,NA,NA,NA,0.034,0.0075,0.00425,0.269375,63.38235294,0.566666667
AFF0432,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Phippsia sp,Phippsia,sp,2018-03-17T00:00:00Z,5,7,0.038,0.205,2.015,0.131,0.211,0.273,bulk,10,15,NA,NA,NA,NA,0.022,0.0038,0.0022,0.2015,91.59090909,0.578947368
AFG9783,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Agrostis sp1,Agrostis,sp1,NA,5,8,0.027,0.006666667,2.338,0.007,0.006,0.007,bulk,7,7,NA,NA,NA,NA,0.008,0.003857143,0.001142857,0.334,292.25,0.296296296
AFI7179,PE,2018,TRUE,B,QUE,3884.3,-13.213841,-71.619348,1,2,Phippsia sp,Phippsia,sp,2018-03-17T00:00:00Z,3,4,0.016,0.256333333,NA,0.251,0.257,0.261,bulk,8,NA,NA,NA,NA,NA,0.015,NA,NA,NA,NA,NA
AFY8719,PE,2018,TRUE,C,ACJ,3492.4,-13.176252,-71.628819,1,5,Elaphoglossum sp,Elaphoglossum,sp,2018-03-18T00:00:00Z,3,6,0.401,0.361333333,7.869,0.373,0.349,0.362,NA,1,1,NA,NA,NA,NA,0.159,0.401,NA,7.869,NA,NA
AFZ3151,PE,2018,TRUE,C,ACJ,3492.4,-13.176252,-71.628819,1,5,Elaphoglossum sp,Elaphoglossum,sp,2018-03-18T00:00:00Z,2,12,0.867,1.023333333,NA,1.026,1.006,1.038,NA,1,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA
AGF5589,PE,2018,TRUE,B,QUE,3882.9,-13.213786,-71.619294,1,1,Chaptalia cordata,Chaptalia,cordata,2018-03-17T00:00:00Z,4,12,0.53,0.413666667,14.62,0.318,0.484,0.439,NA,1,1,NA,NA,NA,NA,0.101,0.53,0.101,14.62,144.7524752,0.190566038
AGG7771,PE,2018,TRUE,C,ACJ,3492.4,-13.176252,-71.628819,1,5,Halenia umbellata,Halenia,umbellata,2018-03-18T00:00:00Z,5,6,0.056,0.189333333,1.918,0.198,0.269,0.101,NA,1,1,NA,NA,NA,NA,0.007,0.056,NA,1.918,NA,NA
AGH3582,PE,2018,TRUE,C,ACJ,3492.4,-13.176252,-71.628819,1,5,Halenia umbellata,Halenia,umbellata,2018-03-18T00:00:00Z,4,15,0.06,0.293333333,2.236,0.242,0.256,0.382,NA,1,2,NA,NA,NA,NA,0.01,0.06,NA,2.236,NA,NA
AGI5334,PE,2018,TRUE,C,ACJ,3492.4,-13.176252,-71.628819,1,5,Halenia umbellata,Halenia,umbellata,2018-03-18T00:00:00Z,3,7,0.06,0.137333333,2.452,0.143,0.15,0.119,NA,1,2,NA,NA,NA,NA,0.008,0.06,NA,2.452,NA,NA
AGJ7193,PE,2018,TRUE,C,ACJ,3492.4,-13.176252,-71.628819,1,5,Halenia umbellata,Halenia,umbellata,2018-03-18T00:00:00Z,2,9,0.03,0.135333333,1.214,0.124,0.152,0.13,NA,1,2,NA,NA,NA,NA,0.005,0.03,NA,1.214,NA,NA
AGK1111,PE,2018,TRUE,C,ACJ,3492.4,-13.176252,-71.628819,1,5,Halenia umbellata,Halenia,umbellata,2018-03-18T00:00:00Z,1,12,0.059,0.141333333,2.728,0.147,0.141,0.136,NA,1,1,NA,NA,NA,NA,0.009,0.059,NA,2.728,NA,NA
AGM2599,PE,2018,TRUE,C,ACJ,3492.4,-13.176252,-71.628819,1,5,Elaphoglossum sp,Elaphoglossum,sp,2018-03-18T00:00:00Z,1,19,0.353,0.658333333,NA,0.647,0.668,0.66,NA,1,NA,NA,NA,NA,NA,0.126,NA,NA,NA,NA,NA
AGN5877,PE,2018,TRUE,C,ACJ,3492.4,-13.176252,-71.628819,1,5,Euphorbia thymifolia,Euphorbia,thymifolia,2018-03-18T00:00:00Z,1,12,0.036,1.022,NA,1.02,1.01,1.036,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO0973,PE,2018,TRUE,B,QUE,3882.9,-13.213786,-71.619294,1,1,Hypericum andinum,Hypericum,andinum,2018-03-17T00:00:00Z,3,9,0.011,0.056333333,0.815,0.059,0.053,0.057,bulk,20,20,NA,NA,NA,NA,0.006,5.5e-4,3e-4,0.04075,135.8333333,0.545454545
AGP4631,PE,2018,TRUE,B,QUE,3882.9,-13.213786,-71.619294,1,1,Hypericum andinum,Hypericum,andinum,NA,2,40,0.009,0.086666667,0.711,0.069,0.093,0.098,bulk,20,22,NA,NA,NA,NA,0.005,4.5e-4,2.5e-4,0.03555,142.2,0.555555556
AGQ4901,PE,2018,TRUE,B,QUE,3882.9,-13.213786,-71.619294,1,1,Hypericum andinum,Hypericum,andinum,2018-03-17T00:00:00Z,1,17,0.008,0.076333333,0.541,0.095,0.057,0.077,bulk,20,20,NA,NA,NA,NA,0.004,4e-4,2e-4,0.02705,135.25,0.5
AGR6811,PE,2018,TRUE,B,QUE,3882.9,-13.213786,-71.619294,1,1,Chaptalia cordata,Chaptalia,cordata,2018-03-17T00:00:00Z,5,12,0.35,0.427333333,12.242,0.412,0.413,0.457,NA,1,1,NA,NA,NA,NA,0.109,0.35,0.109,12.242,112.3119266,0.311428571
AGT5582,PE,2018,TRUE,B,WAY,3077.1,-13.180036,-71.588263,1,3,Bromus spblue,Bromus,spblue,2018-03-18T00:00:00Z,3,102,0.35,0.375,24.049,0.364,0.361,0.4,NA,1,3,NA,NA,NA,NA,0.346,0.35,0.346,24.049,69.50578035,0.988571429
AGU1212,PE,2018,TRUE,B,WAY,3077.1,-13.180036,-71.588263,1,3,Bromus spblue,Bromus,spblue,2018-03-18T00:00:00Z,2,93,0.28,0.369666667,10.733,0.326,0.369,0.414,NA,1,2,NA,NA,NA,NA,0.126,0.28,0.126,10.733,85.18253968,0.45
AGV2895,PE,2018,TRUE,B,WAY,3077.1,-13.180036,-71.588263,1,3,Bromus spblue,Bromus,spblue,2018-03-18T00:00:00Z,1,84,0.6,0.518333333,20.012,0.521,0.544,0.49,NA,1,3,NA,NA,NA,NA,0.26,0.6,0.26,20.012,76.96923077,0.433333333
AGW0532,PE,2018,TRUE,C,WAY,3118,-13.180406,-71.589709,1,1,Calamagrostis sp4,Calamagrostis,sp4,2018-03-18T00:00:00Z,5,21,0.109,0.305,2.83,0.296,0.312,0.307,bulk,3,5,NA,NA,NA,NA,0.072,0.036333333,0.024,0.943333333,39.30555556,0.660550459
AGX5711,PE,2018,TRUE,B,QUE,3890,-13.214201,-71.619384,1,3,Calamagrostis sp2,Calamagrostis,sp2,2018-03-17T00:00:00Z,2,26,0.044,0.374333333,1.209,0.382,0.382,0.359,NA,1,1,NA,NA,NA,NA,0.03,0.044,0.03,1.209,40.3,0.681818182
AGY5110,PE,2018,TRUE,B,QUE,3890,-13.214201,-71.619384,1,3,Calamagrostis sp2,Calamagrostis,sp2,2018-03-17T00:00:00Z,1,20,0.028,0.331,0.774,0.344,0.352,0.297,NA,1,1,NA,NA,NA,NA,0.012,0.028,0.012,0.774,64.5,0.428571429
AHA5419,PE,2018,TRUE,B,WAY,3077.1,-13.180036,-71.588263,1,3,Calamagrostis sp5,Calamagrostis,sp5,2018-03-18T00:00:00Z,1,29,0.146,0.293666667,3.856,0.271,0.309,0.301,bulk,2,9,NA,NA,NA,NA,0.126,0.073,0.063,1.928,30.6031746,0.863013699
AHB8755,PE,2018,TRUE,B,WAY,3077.1,-13.180036,-71.588263,1,3,Calamagrostis sp3,Calamagrostis,sp3,2018-03-18T00:00:00Z,4,59,0.249,0.385666667,NA,0.392,0.371,0.394,NA,1,NA,NA,NA,NA,NA,0.122,NA,NA,NA,NA,NA
AHC5254,PE,2018,TRUE,B,WAY,3077.1,-13.180036,-71.588263,1,3,Calamagrostis sp3,Calamagrostis,sp3,2018-03-18T00:00:00Z,3,64,0.21,0.238666667,5.53,0.228,0.24,0.248,bulk,2,10,NA,NA,NA,NA,0.151,0.105,0.0755,2.765,36.62251656,0.719047619
AHD3291,PE,2018,TRUE,B,WAY,3077.1,-13.180036,-71.588263,1,3,Calamagrostis sp3,Calamagrostis,sp3,2018-03-18T00:00:00Z,2,111,0.333,0.273,6.484,0.302,0.274,0.243,NA,1,5,NA,NA,NA,NA,0.193,0.333,0.193,6.484,33.59585492,0.57957958
AHE3184,PE,2018,TRUE,B,WAY,3077.1,-13.180036,-71.588263,1,3,Calamagrostis sp3,Calamagrostis,sp3,2018-03-18T00:00:00Z,1,59,0.309,0.395,6.96,0.375,0.4,0.41,NA,1,8,NA,NA,NA,NA,0.135,0.309,0.135,6.96,51.55555556,0.436893204
AHF7408,PE,2018,TRUE,B,WAY,3077.1,-13.180036,-71.588263,1,3,Bromus spblue,Bromus,spblue,2018-03-18T00:00:00Z,4,119,0.54,0.388333333,18.819,0.359,0.386,0.42,NA,1,3,NA,NA,NA,NA,0.396,0.54,0.396,18.819,47.52272727,0.733333333
AHH9522,PE,2018,TRUE,C,WAY,3125,-13.18058,-71.589928,1,5,Carex boliviensis,Carex,boliviensis,NA,4,13,0.055,0.206,4.283,0.193,0.217,0.208,bulk,3,3,NA,NA,NA,NA,0.03,0.018333333,0.01,1.427666667,142.7666667,0.545454545
